Simulation,Instance,Vertices,Sparsity,Edges,Size,Density,Method,status,Actual Optimal Coloring,Optimal Coloring,Solution Time,Gap,Complexity
1,10_Vertices_0.2_Sparsity,10,0.2,36,45.0,0.8,mip,Optimal Feasible,9.0,9.0,0.3678457736968994,0.0,4.4
1,10_Vertices_0.2_Sparsity,10,0.2,36,45.0,0.8,mip,Optimal Feasible,9.0,9.0,0.3678457736968994,0.0,4.4
1,10_Vertices_0.2_Sparsity,10,0.2,36,45.0,0.8,lp,Optimal Feasible,9.0,1.9999999883053312,0.02726268768310547,77.77777790771853,4.4
1,10_Vertices_0.2_Sparsity,10,0.2,36,45.0,0.8,mip,Optimal Feasible,9.0,9.0,0.3678457736968994,0.0,4.4
1,10_Vertices_0.2_Sparsity,10,0.2,36,45.0,0.8,lp,Optimal Feasible,9.0,1.9999999883053312,0.02726268768310547,77.77777790771853,4.4
1,10_Vertices_0.2_Sparsity,10,0.2,36,45.0,0.8,sdp,Optimal Feasible,9.0,2.311581639110219,0.09886646270751953,74.31575956544201,5.51
1,10_Vertices_0.2_Sparsity,10,0.2,36,45.0,0.8,mip,Optimal Feasible,9.0,9.0,0.3678457736968994,0.0,4.4
1,10_Vertices_0.2_Sparsity,10,0.2,36,45.0,0.8,lp,Optimal Feasible,9.0,1.9999999883053312,0.02726268768310547,77.77777790771853,4.4
1,10_Vertices_0.2_Sparsity,10,0.2,36,45.0,0.8,sdp,Optimal Feasible,9.0,2.311581639110219,0.09886646270751953,74.31575956544201,5.51
1,10_Vertices_0.2_Sparsity,10,0.2,36,45.0,0.8,qesdp,Optimal Feasible,9.0,9.171934660993633,0.8990075588226318,-1.9103851221514825,18.31
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,mip,Optimal Feasible,6.0,6.0,0.2389366626739502,0.0,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,mip,Optimal Feasible,6.0,6.0,0.2389366626739502,0.0,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,lp,Optimal Feasible,6.0,1.9999999955008665,0.020180702209472656,66.66666674165222,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,mip,Optimal Feasible,6.0,6.0,0.2389366626739502,0.0,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,lp,Optimal Feasible,6.0,1.9999999955008665,0.020180702209472656,66.66666674165222,3.7
1,10_Vertices_0.4_Sparsity,10,0.4,25,45.0,0.5555555555555556,sdp,Optimal Feasible,6.0,2.311268550234826,0.09123396873474121,61.478857496086235,4.81
