Reformulation,LowerBound,Beta,Gamma,Theta,Instance,Simulation
vertex_unique_color,2.3171619787380977,0.9985368196332924,3.331835999029811,0.4707112970711297,15_Vertices_0.2_Sparsity,1
adjacent_vertex,2.2939447149489114,1.0007069632504193,6.203468216552874,0.5887134231305156,15_Vertices_0.2_Sparsity,1
vertex_to_global_color,2.3242709536381585,0.9978723357973088,1.4589025294611269,0.11272545090180361,15_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.326399020445233,0.9976734230124032,4.164482928298015,0.504060487258471,15_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",14.106276745002624,-0.103404924832765,9.039847097657328,0.6091370558375635,15_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",13.859448671895066,-0.08033362873836622,24.61590587215251,0.7099574189321979,15_Vertices_0.2_Sparsity,1
['vertex_to_global_color'],2.3242709536381585,0.9978723357973088,1.7467155060176809,0.11272545090180361,15_Vertices_0.2_Sparsity,1
vertex_unique_color,2.3171619787380977,0.9985368196332924,3.331835999029811,0.4707112970711297,15_Vertices_0.2_Sparsity,1
adjacent_vertex,2.2939447149489114,1.0007069632504193,6.203468216552874,0.5887134231305156,15_Vertices_0.2_Sparsity,1
vertex_to_global_color,2.3242709536381585,0.9978723357973088,1.4589025294611269,0.11272545090180361,15_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.326399020445233,0.9976734230124032,4.164482928298015,0.504060487258471,15_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",14.106276745002624,-0.103404924832765,9.039847097657328,0.6091370558375635,15_Vertices_0.2_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",13.859448671895066,-0.08033362873836622,24.61590587215251,0.7099574189321979,15_Vertices_0.2_Sparsity,1
['vertex_to_global_color'],2.3242709536381585,0.9978723357973088,1.7467155060176809,0.11272545090180361,15_Vertices_0.2_Sparsity,1
vertex_unique_color,2.3171619787380977,0.9985368196332924,3.331835999029811,0.4707112970711297,15_Vertices_0.2_Sparsity,1
